system,strategy,sample_size_source_t,sample_size,coverage_t,run,metric,coverage
BerkeleyDBC,solver,1,10,1,1,AP_ALS-PCI,0.72727272727272729
BerkeleyDBC,solver,1,10,1,1,Default,0.74285714285714288
BerkeleyDBC,solver,1,10,1,1,MDAP_MF-DF-ALS-PCI,0.71875
BerkeleyDBC,solver,1,10,1,1,MDA_MF-DF-ALS,0.71875
BerkeleyDBC,solver,1,10,1,1,MDP_MF-DF-PCI,0.71875
BerkeleyDBC,solver,1,10,1,1,MD_MF-DF,0.71875
BerkeleyDBC,solver,1,10,1,1,PCI,0.74285714285714288
BerkeleyDBC,solver,1,10,2,1,ALS,0.49596774193548387
BerkeleyDBC,solver,1,10,2,1,AP_ALS-PCI,0.4887525562372188
BerkeleyDBC,solver,1,10,2,1,Default,0.52220248667850799
BerkeleyDBC,solver,1,10,2,1,MDAP_MF-DF-ALS-PCI,0.48060344827586204
BerkeleyDBC,solver,1,10,2,1,MDA_MF-DF-ALS,0.48060344827586204
BerkeleyDBC,solver,1,10,2,1,MDP_MF-DF-PCI,0.48060344827586204
BerkeleyDBC,solver,1,10,2,1,MD_MF-DF,0.48060344827586204
BerkeleyDBC,solver,1,10,2,1,PCI,0.52110091743119269
BerkeleyDBC,solver,1,10,3,1,ALS,0.32471264367816094
BerkeleyDBC,solver,1,10,3,1,AP_ALS-PCI,0.31326412918108421
BerkeleyDBC,solver,1,10,3,1,Default,0.35375743377185076
